,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,Fecha de Vencimiento,SKU,Cajas Disponibles
158,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,184,R010823                       ,4/27/2024,6030050074               ,1200.0
159,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,185,R020823                       ,4/28/2024,6030050074               ,1360.0
160,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,186,R030823                       ,4/29/2024,6030050074               ,2160.0
161,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,207,R240823                       ,5/20/2024,6030050074               ,480.0
162,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,208,R250823                       ,5/21/2024,6030050074               ,1440.0
163,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,209,R260823                       ,5/22/2024,6030050074               ,880.0
164,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,213,R300823                       ,5/26/2024,6030050074               ,720.0
165,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,214,R310823                       ,5/27/2024,6030050074               ,720.0
166,       CDPI,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",260,214,R310823                       ,5/27/2024,6030050070               ,791.0
167,       CDPI,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,201,R180823                       ,5/14/2024,6030050071               ,5475.0
