,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Cajas Solicitadas,Pallets Solicitados
179,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",241227,SD,173329,8.0,0.035714
180,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",223397,SD,174198,200.0,0.892857
181,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",274066,SD,660859,20.0,0.076923
182,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",359653,SD,660753,9.0,0.034615
183,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",241245,SD,661344,700.0,2.916667
184,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",284817,SD,661048,20.0,0.076923
185,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",338653,SD,661237,20.0,0.076923
186,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",360190,SD,660735,350.0,1.346154
187,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",338653,SD,661237,34.0,0.125
188,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",281096,SD,659905,37.0,0.136029
189,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",363993,SD,661181,68.0,0.25
190,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",277494,SD,661034,170.0,0.625
191,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",280862,SD,661285,34.0,0.125
