,Depósito Padre,Descripción,SKU,Lote,Fecha de Vencimiento,cajas_x_pallets,Dias al Vencimiento,Cajas Disponibles
137,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,251/23                        ,9/7/2025,224,682,2464.0
138,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,252/23                        ,9/8/2025,224,683,1344.0
139,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,254/23                        ,9/10/2025,224,685,3808.0
140,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,255/23                        ,9/11/2025,224,686,1120.0
141,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,268/23                        ,9/24/2025,224,699,672.0
142,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,269/23                        ,9/25/2025,224,700,3584.0
143,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,270/23                        ,9/26/2025,224,701,3808.0
144,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,271/23                        ,9/27/2025,224,702,3584.0
145,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,272/23                        ,9/28/2025,224,703,896.0
146,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,287/23                        ,10/13/2025,224,718,448.0
147,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",6011640001               ,192/23                        ,7/10/2025,224,623,0.0
148,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",6011640001               ,275/23                        ,10/1/2025,224,706,1344.0
149,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",6011640001               ,276/23                        ,10/2/2025,224,707,199.0
150,       CDGD,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",6050100007               ,010823                        ,4/27/2024,260,184,56.0
151,       CDGD,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",6050100007               ,011023                        ,6/27/2024,260,245,4380.0
152,       CDGD,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",6050100002               ,290923                        ,6/25/2024,272,243,544.0
153,       CDGD,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",6050100002               ,300723                        ,4/25/2024,272,182,1109.0
154,       CDGD,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",6050100004               ,011023                        ,6/27/2024,80,245,160.0
155,       CDGD,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",6050100004               ,080623                        ,3/4/2024,80,130,0.0
156,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R010823                       ,4/27/2024,80,184,1200.0
157,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R020823                       ,4/28/2024,80,185,1360.0
158,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R030823                       ,4/29/2024,80,186,2160.0
159,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R070723                       ,4/2/2024,80,159,281.0
160,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R120723                       ,4/7/2024,80,164,480.0
161,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R240823                       ,5/20/2024,80,207,480.0
162,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R250823                       ,5/21/2024,80,208,1440.0
163,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R260823                       ,5/22/2024,80,209,880.0
164,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R300823                       ,5/26/2024,80,213,720.0
165,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",6030050074               ,R310823                       ,5/27/2024,80,214,720.0
166,       CDPI,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",6030050070               ,R310823                       ,5/27/2024,260,214,791.0
167,       CDPI,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050071               ,R180823                       ,5/14/2024,144,201,5475.0
